date,time,graha_positions,veda_calculations
"2022-08-06 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N17P1"",""SY"":""N9P1"",""BU"":""N10P3"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P3"",""LG"":""N12P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [CH], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-06 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N17P2"",""SY"":""N9P2"",""BU"":""N10P4"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P3"",""LG"":""N20P1""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [CH], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-07 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N18P1"",""SY"":""N9P2"",""BU"":""N10P4"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P4"",""LG"":""N12P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-07 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N18P2"",""SY"":""N9P2"",""BU"":""N10P4"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P4"",""LG"":""N20P1""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU]]}}"
"2022-08-08 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N19P1"",""SY"":""N9P2"",""BU"":""N10P4"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P4"",""LG"":""N12P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [BU], [CH]]}}"
"2022-08-08 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N19P3"",""SY"":""N9P2"",""BU"":""N11P1"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P4"",""LG"":""N20P2""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]}}"
"2022-08-09 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N20P2"",""SY"":""N9P2"",""BU"":""N11P1"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N7P4"",""LG"":""N12P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [CH]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
"2022-08-09 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N20P3"",""SY"":""N9P2"",""BU"":""N11P1"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P1"",""LG"":""N20P2""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG, CH]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
"2022-08-10 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N21P2"",""SY"":""N9P3"",""BU"":""N11P1"",""MA"":""N3P1"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P1"",""LG"":""N12P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[CH, (TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(GU)], [SY], [CH, (TE)], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[CH, (TE)]]}}"
"2022-08-10 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N21P4"",""SY"":""N9P3"",""BU"":""N11P1"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P1"",""LG"":""N20P2""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
